hyperlinks,vehicle_description,Brand,Model,comment,model_year,classes,low_level,high_level
https://eg.hatla2ee.com/en/new-car/lotus/Emeya,Lotus-Emeya-2024,lotus,emeya,,2024,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/lotus/Eletre,Lotus-Eletre-2024,lotus,eletre,,2024,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/bmw/520,BMW-520-2024,bmw,520,,2024,2 Classes, , 
https://eg.hatla2ee.com/en/new-car/bmw/530,BMW-530-2024,bmw,530,,2024,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/jetour/T2,Jetour-T2-2025,jetour,t2,,2025,2 Classes, ,"1,895,000"
https://eg.hatla2ee.com/en/new-car/audi/RS-Q8,Audi-RS-Q8-2024,audi,rs-q8,,2024,1 Classes, , 
https://eg.hatla2ee.com/en/new-car/byd/f3,Byd-F3-2024,byd,f3,,2024,2 Classes,"520,000","600,000"
https://eg.hatla2ee.com/en/new-car/suzuki/S-Presso,Suzuki-S-Presso-2024,suzuki,s-presso,,2024,1 Classes,"549,900", 
https://eg.hatla2ee.com/en/new-car/chery/Arrizo-5,Chery-Arrizo5-2024,chery,arrizo5,,2024,3 Classes,"630,000","700,000"
https://eg.hatla2ee.com/en/new-car/byd/f3,Byd-F3-2025,byd,f3,,2025,2 Classes,"650,000","730,000"
https://eg.hatla2ee.com/en/new-car/chery/Arrizo-5,Chery-Arrizo5-2025,chery,arrizo5,,2025,3 Classes,"665,000","745,000"
https://eg.hatla2ee.com/en/new-car/suzuki/swift-dzire,Suzuki-Swift-Dzire-2024,suzuki,swift-dzire,,2024,1 Classes,"669,000", 
https://eg.hatla2ee.com/en/new-car/hyundai/Accent-RB,Hyundai-Accent-RB-2024,hyundai,accent-rb,,2024,5 Classes,"689,000","810,000"
https://eg.hatla2ee.com/en/new-car/nissan/sunny,Nissan-Sunny-2025,nissan,sunny,,2025,3 Classes,"695,000","795,000"
https://eg.hatla2ee.com/en/new-car/nissan/sunny,Nissan-Sunny-2024,nissan,sunny,,2024,4 Classes,"695,400","761,000"
https://eg.hatla2ee.com/en/new-car/suzuki/swift,Suzuki-Swift-2024,suzuki,swift,,2024,2 Classes,"704,900","724,900"
https://eg.hatla2ee.com/en/new-car/chevrolet/optra,Chevrolet-Optra-2025,chevrolet,optra,,2025,2 Classes,"724,900","749,900"
https://eg.hatla2ee.com/en/new-car/hyundai/Elantra-HD,Hyundai-Elantra-HD-2024,hyundai,elantra-hd,,2024,4 Classes,"725,000","890,000"
https://eg.hatla2ee.com/en/new-car/suzuki/swift-shape-facelift,Suzuki-Swift--Facelift-2024,suzuki,swift,Facelift,2024,2 Classes,"744,900","764,900"
https://eg.hatla2ee.com/en/new-car/proton/saga,Proton-Saga-2024,proton,saga,,2024,1 Classes,"750,000", 
https://eg.hatla2ee.com/en/new-car/mitsubishi/attrage,Mitsubishi-Attrage-2024,mitsubishi,attrage,,2024,1 Classes,"765,000", 
https://eg.hatla2ee.com/en/new-car/zotye/T300,Zotye-T300-2024,zotye,t300,,2024,2 Classes,"774,900","999,000"
https://eg.hatla2ee.com/en/new-car/fiat/tipo,Fiat-Tipo-2025,fiat,tipo,,2025,1 Classes,"780,000", 
https://eg.hatla2ee.com/en/new-car/mitsubishi/mirage,Mitsubishi-Mirage-2024,mitsubishi,mirage,,2024,1 Classes,"780,000", 
https://eg.hatla2ee.com/en/new-car/mitsubishi/attrage,Mitsubishi-Attrage-2025,mitsubishi,attrage,,2025,1 Classes,"790,000", 
https://eg.hatla2ee.com/en/new-car/jac/s2,Jac-S2-2024,jac,s2,,2024,1 Classes,"794,900", 
https://eg.hatla2ee.com/en/new-car/hyundai/Accent-RB,Hyundai-Accent-RB-2025,hyundai,accent-rb,,2025,5 Classes,"795,000","925,000"
https://eg.hatla2ee.com/en/new-car/renault/Taliant,Renault-Taliant-2025,renault,taliant,,2025,2 Classes,"799,000","899,000"
https://eg.hatla2ee.com/en/new-car/renault/Taliant,Renault-Taliant-2024,renault,taliant,,2024,2 Classes,"799,000","899,000"
https://eg.hatla2ee.com/en/new-car/mitsubishi/mirage,Mitsubishi-Mirage-2025,mitsubishi,mirage,,2025,1 Classes,"805,000", 
https://eg.hatla2ee.com/en/new-car/suzuki/ciaz,Suzuki-Ciaz-2024,suzuki,ciaz,,2024,3 Classes,"809,900","899,900"
https://eg.hatla2ee.com/en/new-car/chery/Tiggo3,Chery-Tiggo3-2024,chery,tiggo3,,2024,1 Classes,"830,000", 
https://eg.hatla2ee.com/en/new-car/moris-garage/mg-5,MG-5-2024,mg,5,,2024,2 Classes,"830,000","900,000"
https://eg.hatla2ee.com/en/new-car/suzuki/swift,Suzuki-Swift-2025,suzuki,swift,,2025,1 Classes,"849,900", 
https://eg.hatla2ee.com/en/new-car/geely/Gelly-Emgrand,Geely-Emgrand-2025,geely,emegrand-7,,2025,4 Classes,"850,000","970,000"
https://eg.hatla2ee.com/en/new-car/geely/GX3-pro,Geely-GX3-Pro-2024,geely,gx3,,2024,2 Classes,"860,000","925,000"
https://eg.hatla2ee.com/en/new-car/baic/U5-plus,Baic-U5-plus-2025,baic,u5-plus,,2025,3 Classes,"874,900","1,299,900"
https://eg.hatla2ee.com/en/new-car/citroen/c-elysee,Citroën-C-Elysee-2024,citroën,c-elysee,,2024,2 Classes,"890,000","960,000"
https://eg.hatla2ee.com/en/new-car/moris-garage/mg-5,MG-5-2025,mg,5,,2025,2 Classes,"900,000","1,000,000"
https://eg.hatla2ee.com/en/new-car/soueast/DX5,Soueast-DX5-2024,soueast,dx5,,2024,1 Classes,"900,000", 
https://eg.hatla2ee.com/en/new-car/chery/Tiggo-4-Pro,Chery-Tiggo4-Pro-2025,chery,tiggo4-pro,,2025,3 Classes,"910,000","1,070,000"
